regulator,gene_id,effect
CcpN,BSU_29010,repression
CcpN,BSU_14629,repression
SigK,BSU_10930,sigma factor
SigK,BSU_19850,sigma factor
SigK,BSU_17970,sigma factor
SigK,BSU_30610,sigma factor
SigK,BSU_14970,sigma factor
SigK,BSU_30900,sigma factor
SigK,BSU_07270,sigma factor
SigK,BSU_30870,sigma factor
SigK,BSU_22200,sigma factor
SigK,BSU_00260,sigma factor
SigK,BSU_13789,sigma factor
SigK,BSU_14980,sigma factor
SigK,BSU_17420,sigma factor
SigK,BSU_00250,sigma factor
SigK,BSU_30860,sigma factor
SigK,BSU_17310,sigma factor
SigK,BSU_37890,sigma factor
SigK,BSU_26390,sigma factor
SigK,BSU_34520,sigma factor
SigK,BSU_32640,sigma factor
SigK,BSU_11320,sigma factor
SigK,BSU_37830,sigma factor
SigK,BSU_07280,sigma factor
SigK,BSU_19490,sigma factor
SigK,BSU_08620,sigma factor
SigK,BSU_25150,sigma factor
SigK,BSU_19890,sigma factor
SigK,BSU_30910,sigma factor
SigK,BSU_10950,sigma factor
SigK,BSU_11760,sigma factor
SigK,BSU_13790,sigma factor
SigK,BSU_34530,sigma factor
SigK,BSU_19750,sigma factor
SigK,BSU_36060,sigma factor
SigK,BSU_30850,sigma factor
SigK,BSU_37840,sigma factor
SigK,BSU_37870,sigma factor
SigK,BSU_10600,sigma factor
SigK,BSU_22240,sigma factor
SigK,BSU_16760,sigma factor
SigK,BSU_11750,sigma factor
SigK,BSU_00240,sigma factor
SigK,BSU_16740,sigma factor
SigK,BSU_10910,sigma factor
SigK,BSU_07300,sigma factor
SigK,BSU_37810,sigma factor
SigK,BSU_19810,sigma factor
SigK,BSU_37900,sigma factor
SigK,BSU_37880,sigma factor
SigK,BSU_17820,sigma factor
SigK,BSU_37820,sigma factor
SigK,BSU_14040,sigma factor
SigK,BSU_19110,sigma factor
SigK,BSU_10900,sigma factor
SigK,BSU_37860,sigma factor
SigK,BSU_13780,sigma factor
SigK,BSU_36070,sigma factor
SigK,BSU_12830,sigma factor
SigK,BSU_17410,sigma factor
SigK,BSU_10610,sigma factor
SigK,BSU_19970,sigma factor
SigK,BSU_10710,sigma factor
SigK,BSU_06300,sigma factor
SigK,BSU_19820,sigma factor
SigK,BSU_15950,sigma factor
SigK,BSU_37910,sigma factor
SigK,BSU_10700,sigma factor
SigK,BSU_19770,sigma factor
SigK,BSU_11810,sigma factor
SigK,BSU_09165,sigma factor
SigK,BSU_02600,sigma factor
SigK,BSU_11780,sigma factor
SigK,BSU_32340,sigma factor
SigK,BSU_19880,sigma factor
SigK,BSU_11740,sigma factor
SigK,BSU_16770,sigma factor
SigK,BSU_07290,sigma factor
SigK,BSU_19860,sigma factor
SigK,BSU_22250,sigma factor
SigK,BSU_12090,sigma factor
SigK,BSU_10680,sigma factor
SigK,BSU_19870,sigma factor
SigK,BSU_10920,sigma factor
SigK,BSU_26560,sigma factor
SigK,BSU_09958,sigma factor
SigK,BSU_17700,sigma factor
SigK,BSU_30880,sigma factor
SigK,BSU_00270,sigma factor
SigK,BSU_04110,sigma factor
SigK,BSU_18670,sigma factor
SigK,BSU_19930,sigma factor
SigK,BSU_12820,sigma factor
SigK,BSU_19610,sigma factor
SigK,BSU_19600,sigma factor
SigK,BSU_06850,sigma factor
SigK,BSU_25710,sigma factor
SigK,BSU_19790,sigma factor
SigK,BSU_10670,sigma factor
SigK,BSU_30620,sigma factor
SigK,BSU_28320,sigma factor
SigK,BSU_12490,sigma factor
SigK,BSU_10940,sigma factor
SigK,BSU_25760,sigma factor
SigK,BSU_05550,sigma factor
SigK,BSU_36050,sigma factor
SigK,BSU_31270,sigma factor
SigK,BSU_16730,sigma factor
SigK,BSU_11770,sigma factor
SigK,BSU_30920,sigma factor
SigK,BSU_17030,sigma factor
SigK,BSU_19830,sigma factor
SigK,BSU_17670,sigma factor
SigK,BSU_36040,sigma factor
SigK,BSU_19910,sigma factor
SigK,BSU_10720,sigma factor
SigK,BSU_37850,sigma factor
SigK,BSU_39580,sigma factor
SigK,BSU_19940,sigma factor
SigK,BSU_28410,sigma factor
SigK,BSU_30595,sigma factor
SigK,BSU_07310,sigma factor
SigK,BSU_16750,sigma factor
SigK,BSU_40530,sigma factor
SigK,BSU_19780,sigma factor
SigK,BSU_19760,sigma factor
SigK,BSU_19920,sigma factor
SigK,BSU_26559,sigma factor
SigK,BSU_05560,sigma factor
SigK,BSU_10690,sigma factor
SigK,BSU_05570,sigma factor
SigK,BSU_00430,sigma factor
SigK,BSU_32650,sigma factor
SigK,BSU_30890,sigma factor
Xre,BSU_12519,repression
Xre,BSU_12520,repression
Xre,BSU_12530,repression
Xre,BSU_12539,repression
Xre,BSU_12540,repression
Xre,BSU_12550,repression
BsdA,BSU_03651,activation
BsdA,BSU_03630,activation
BsdA,BSU_03640,activation
SdpR,BSU_32840,activation
SdpR,BSU_32830,activation
SdpR,BSU_32820,activation
SdpR,BSU_33790,repression
SdpR,BSU_32850,activation
SdpR,BSU_33780,repression
Spo0A,BSU_16330,repression
Spo0A,BSU_16430,repression
Spo0A,BSU_35520,repression
Spo0A,BSU_17910,activation
Spo0A,BSU_16440,repression
Spo0A,BSU_24600,activation
Spo0A,BSU_16270,repression
Spo0A,BSU_16400,repression
Spo0A,BSU_24930,repression
Spo0A,BSU_16410,repression
Spo0A,BSU_16320,repression
Spo0A,BSU_14140,activation
Spo0A,BSU_31740,repression
Spo0A,BSU_14490,activation
Spo0A,BSU_00380,repression
Spo0A,BSU_29630,activation
Spo0A,BSU_25890,activation
Spo0A,BSU_16180,repression
Spo0A,BSU_35510,repression
Spo0A,BSU_29200,activation
Spo0A,BSU_38400,activation
Spo0A,BSU_27370,repression
Spo0A,BSU_14110,activation
Spo0A,BSU_36250,activation
Spo0A,BSU_00370,repression
Spo0A,BSU_10750,activation
Spo0A,BSU_16240,repression
Spo0A,BSU_40320,repression
Spo0A,BSU_15320,activation
Spo0A,BSU_01920,activation
Spo0A,BSU_15380,repression
Spo0A,BSU_03220,activation
Spo0A,BSU_16260,repression
Spo0A,BSU_36230,activation
Spo0A,BSU_16450,repression
Spo0A,BSU_16310,repression
Spo0A,BSU_15330,activation
Spo0A,BSU_16470,repression
Spo0A,BSU_16210,repression
Spo0A,BSU_38100,repression
Spo0A,BSU_01950,activation
Spo0A,BSU_03210,activation
Spo0A,BSU_16480,repression
Spo0A,BSU_15410,repression
Spo0A,BSU_12440,repression
Spo0A,BSU_16300,repression
Spo0A,BSU_16460,repression
Spo0A,BSU_22280,activation
Spo0A,BSU_16380,repression
Spo0A,BSU_14500,activation
Spo0A,BSU_15400,repression
Spo0A,BSU_16290,repression
Spo0A,BSU_16299,repression
Spo0A,BSU_16420,repression
Spo0A,BSU_37130,activation
Spo0A,BSU_07460,activation
Spo0A,BSU_16370,repression
Spo0A,BSU_39880,activation
Spo0A,BSU_16280,repression
Spo0A,BSU_32760,activation
Spo0A,BSU_23460,activation
Spo0A,BSU_16340,repression
Spo0A,BSU_00010,repression
Spo0A,BSU_11300,repression
Spo0A,BSU_14240,repression
Spo0A,BSU_16390,repression
Spo0A,BSU_16200,repression
Spo0A,BSU_01980,activation
Spo0A,BSU_16250,repression
Spo0A,BSU_37030,activation
Spo0A,BSU_23470,activation
Spo0A,BSU_15390,repression
Spo0A,BSU_16360,repression
Spo0A,BSU_12850,repression
Spo0A,BSU_11310,repression
Spo0A,BSU_38110,repression
Spo0A,BSU_15420,repression
Spo0A,BSU_03200,activation
Spo0A,BSU_14120,activation
Spo0A,BSU_23450,activation
Spo0A,BSU_22270,activation
Spo0A,BSU_39870,activation
Spo0A,BSU_36260,activation
Spo0A,BSU_38530,repression
Spo0A,BSU_16350,repression
Spo0A,BSU_32770,activation
Spo0A,BSU_06570,activation
Spo0A,BSU_09420,repression
Spo0A,BSU_12430,repression
Spo0A,BSU_26050,transcription activation
Spo0A,BSU_25860,activation
Spo0A,BSU_24220,repression
Spo0A,BSU_10420,activation
Spo0A,BSU_01910,activation
Spo0A,BSU_25870,activation
Spo0A,BSU_40330,repression
Spo0A,BSU_12840,repression
Spo0A,BSU_38520,repression
Spo0A,BSU_19640,activation
Spo0A,BSU_17890,repression
Spo0A,BSU_00020,repression
Spo0A,BSU_19210,activation
Spo0A,BSU_25200,repression
Spo0A,BSU_38540,repression
Spo0A,BSU_25210,repression
Spo0A,BSU_24610,activation
Spo0A,BSU_33760,activation
Spo0A,BSU_36240,activation
Spo0A,BSU_40340,repression
Spo0A,BSU_14510,activation
Spo0A,BSU_17900,activation
Spo0A,BSU_38499,repression
Spo0A,BSU_16190,repression
Spo0A,BSU_00640,activation
Spo0A,BSU_00110,repression
Spo0A,BSU_25880,activation
Spo0A,BSU_10760,activation
Spo0A,BSU_29210,activation
Spo0A,BSU_40970,repression
Spo0A,BSU_13990,activation
Spo0A,BSU_33770,activation
Spo0A,BSU_14100,activation
Spo0A,BSU_06580,activation
Spo0A,BSU_01935,activation
Spo0A,BSU_15310,activation
Spo0A,BSU_00120,repression
Spo0A,BSU_25230,repression
Spo0A,BSU_14130,activation
Spo0A,BSU_16220,repression
Spo0A,BSU_15370,repression
Spo0A,BSU_33750,activation
Spo0A,BSU_01960,activation
Spo0A,BSU_24940,repression
Spo0A,BSU_38500,repression
Spo0A,BSU_40960,repression
Spo0A,BSU_35260,repression
Spo0A,BSU_00390,repression
Spo0A,BSU_35250,repression
Spo0A,BSU_01970,activation
Spo0A,BSU_16230,repression
Spo0A,BSU_07450,activation
Spo0A,BSU_38510,repression
Spx,BSU_22470,activation
Spx,BSU_27240,activation
Spx,BSU_15120,activation
Spx,BSU_31290,activation
Spx,BSU_00720,activation
Spx,BSU_03510,repression
Spx,BSU_31370,activation
Spx,BSU_22490,activation
Spx,BSU_22440,activation
Spx,BSU_19470,activation
Spx,BSU_03520,repression
Spx,BSU_38100,activation
Spx,BSU_29830,activation
Spx,BSU_00730,activation
Spx,BSU_30340,activation
Spx,BSU_00700,activation
Spx,BSU_14710,activation
Spx,BSU_34790,activation
Spx,BSU_14740,activation
Spx,BSU_15110,activation
Spx,BSU_21690,activation
Spx,BSU_11550,activation
Spx,BSU_27250,activation
Spx,BSU_29480,activation
Spx,BSU_03480,repression
Spx,BSU_14730,activation
Spx,BSU_19460,activation
Spx,BSU_03490,repression
Spx,BSU_14720,activation
Spx,BSU_19479,activation
Spx,BSU_29840,activation
Spx,BSU_38110,activation
Spx,BSU_03500,repression
Spx,BSU_29820,activation
Spx,BSU_11560,activation
Spx,BSU_27270,activation
Spx,BSU_29490,activation
Spx,BSU_21680,activation
Spx,BSU_27280,activation
Spx,BSU_22460,activation
Spx,BSU_28500,activation
Spx,BSU_27260,activation
Spx,BSU_22500,activation
Spx,BSU_22450,activation
Spx,BSU_00710,activation
Spx,BSU_22480,activation
DtrR,BSU_38450,repression
DtrR,BSU_38460,repression
HrcA,BSU_25480,repression
HrcA,BSU_25430,repression
HrcA,BSU_25450,repression
HrcA,BSU_06020,repression
HrcA,BSU_25460,repression
HrcA,BSU_25440,repression
HrcA,BSU_25470,repression
HrcA,BSU_25490,repression
HrcA,BSU_06030,repression
SigA,BSU_35230,sigma factor
SigA,BSU_35690,sigma factor
SigA,BSU_12930,sigma factor
SigA,BSU_32500,sigma factor
SigA,BSU_03350,sigma factor
SigA,BSU_32610,sigma factor
SigA,BSU_05450,sigma factor
SigA,BSU_12900,sigma factor
SigA,BSU_36900,sigma factor
SigA,BSU_05500,sigma factor
SigA,BSU_19480,sigma factor
SigA,BSU_28700,sigma factor
SigA,BSU_03340,sigma factor
SigA,BSU_28030,sigma factor
SigA,BSU_31890,sigma factor
SigA,BSU_35490,sigma factor
SigA,BSU_28140,sigma factor
SigA,BSU_40350,sigma factor
SigA,BSU_07390,sigma factor
SigA,BSU_12350,sigma factor
SigA,BSU_37250,sigma factor
SigA,BSU_02280,sigma factor
SigA,BSU_29670,sigma factor
SigA,BSU_02670,sigma factor
SigA,BSU_12000,sigma factor
SigA,BSU_34720,sigma factor
SigA,BSU_08860,sigma factor
SigA,BSU_04470,sigma factor
SigA,BSU_19890,sigma factor
SigA,BSU_05820,sigma factor
SigA,BSU_03220,sigma factor
SigA,BSU_32570,sigma factor
SigA,BSU_33130,sigma factor
SigA,BSU_37650,sigma factor
SigA,BSU_09280,sigma factor
SigA,BSU_00800,sigma factor
SigA,BSU_31460,sigma factor
SigA,BSU_00780,sigma factor
SigA,BSU_40050,sigma factor
SigA,BSU_23260,sigma factor
SigA,BSU_35600,sigma factor
SigA,BSU_06030,sigma factor
SigA,BSU_29390,sigma factor
SigA,BSU_28750,sigma factor
SigA,BSU_13900,sigma factor
SigA,BSU_37270,sigma factor
SigA,BSU_28130,sigma factor
SigA,BSU_36290,sigma factor
SigA,BSU_23130,sigma factor
SigA,BSU_01250,sigma factor
SigA,BSU_34740,sigma factor
SigA,BSU_34360,sigma factor
SigA,BSU_15720,sigma factor
SigA,BSU_16230,sigma factor
SigA,BSU_32490,sigma factor
SigA,BSU_18000,sigma factor
SigA,BSU_28540,sigma factor
SigA,BSU_22480,sigma factor
SigA,BSU_03359,sigma factor
SigA,BSU_04690,sigma factor
SigA,BSU_01935,sigma factor
SigA,BSU_23110,sigma factor
SigA,BSU_23270,sigma factor
SigA,BSU_12340,sigma factor
SigA,BSU_07820,sigma factor
SigA,BSU_10270,sigma factor
SigA,BSU_13600,sigma factor
SigA,BSU_06510,sigma factor
SigA,BSU_29360,sigma factor
SigA,BSU_10110,sigma factor
SigA,BSU_16330,sigma factor
SigA,BSU_31190,sigma factor
SigA,BSU_11500,sigma factor
SigA,BSU_03280,sigma factor
