,gene_id,database,kegg_id
872,BSU_02720,KEGG_pathway,-
876,BSU_02730,KEGG_pathway,map02020
877,BSU_02730,KEGG_pathway,map02024
878,BSU_02730,KEGG_pathway,map02030
880,BSU_02740,KEGG_pathway,map02020
883,BSU_02750,KEGG_pathway,map02010
884,BSU_02750,KEGG_pathway,map02020
887,BSU_02760,KEGG_pathway,map02010
888,BSU_02760,KEGG_pathway,map02020
889,BSU_02770,KEGG_pathway,-
890,BSU_02780,KEGG_pathway,-
891,BSU_02790,KEGG_pathway,-
892,BSU_02800,KEGG_pathway,-
893,BSU_02810,KEGG_pathway,-
894,BSU_02820,KEGG_pathway,-
898,BSU_02830,KEGG_pathway,map00030
899,BSU_02830,KEGG_pathway,map01120
900,BSU_02830,KEGG_pathway,map01200
904,BSU_02840,KEGG_pathway,map00052
905,BSU_02840,KEGG_pathway,map00500
906,BSU_02840,KEGG_pathway,map01100
908,BSU_02850,KEGG_pathway,map02010
910,BSU_02860,KEGG_pathway,map02010
912,BSU_02870,KEGG_pathway,map02010
913,BSU_02880,KEGG_pathway,-
914,BSU_02890,KEGG_pathway,-
915,BSU_02900,KEGG_pathway,-
916,BSU_02910,KEGG_pathway,-
917,BSU_02920,KEGG_pathway,-
918,BSU_02930,KEGG_pathway,-
919,BSU_02940,KEGG_pathway,-
920,BSU_02950,KEGG_pathway,-
921,BSU_02960,KEGG_pathway,-
922,BSU_02970,KEGG_pathway,-
924,BSU_02980,KEGG_pathway,map02010
926,BSU_02990,KEGG_pathway,map02010
930,BSU_03000,KEGG_pathway,map02010
931,BSU_03000,KEGG_pathway,map02020
932,BSU_03000,KEGG_pathway,map02030
933,BSU_03010,KEGG_pathway,-
934,BSU_03020,KEGG_pathway,-
935,BSU_03030,KEGG_pathway,-
939,BSU_03040,KEGG_pathway,map00500
940,BSU_03040,KEGG_pathway,map01100
941,BSU_03040,KEGG_pathway,map04973
951,BSU_03050,KEGG_pathway,map00010
952,BSU_03050,KEGG_pathway,map00270
953,BSU_03050,KEGG_pathway,map00620
954,BSU_03050,KEGG_pathway,map00640
955,BSU_03050,KEGG_pathway,map01100
956,BSU_03050,KEGG_pathway,map01110
957,BSU_03050,KEGG_pathway,map01120
958,BSU_03050,KEGG_pathway,map01130
959,BSU_03050,KEGG_pathway,map04922
960,BSU_03060,KEGG_pathway,-
