Geneid,SRX7255900,SRX7255906,SRX7255905,SRX7255902,SRX7255887,SRX7255895,SRX7255891,SRX7255892,SRX7255916,SRX7255889,SRX7255917,SRX7255909,SRX7255913,SRX7255888,SRX7255897,SRX7255908,SRX7255912,SRX7255911,SRX7255914,SRX7255894,SRX7255904,SRX7255910,SRX7255907,SRX7255893,SRX7255901,SRX7255915,SRX7255890,SRX7255898,SRX7255899,SRX7255903,SRX7255896
BSU_31790,1647,2057,2036,2235,369,396,1330,1080,822,513,0,1855,525,343,634,1760,402,1737,412,488,1669,1906,3410,392,1563,694,1154,893,1607,2352,1000
BSU_31800,4410,3492,3903,4169,1604,1403,5539,4367,3398,2321,2,2355,1334,1336,2140,3692,903,6269,1443,1746,3722,2588,6413,1499,4439,3109,5231,3512,5340,4734,3379
BSU_31810,411,880,1030,688,20,41,96,69,135,48,6,1217,222,13,46,788,179,665,203,51,529,937,1473,37,510,114,95,79,429,775,85
BSU_31820,2184,5026,5755,4449,1188,187,231,193,1619,1328,4,5859,552,876,112,3962,492,3678,862,171,3039,4932,7502,203,2271,955,225,152,1910,5109,167
BSU_31830,1486,2893,2858,2315,2462,532,511,425,2591,2971,6,3585,461,2110,248,3053,570,3190,1290,581,1898,2932,4084,840,1434,1451,452,390,1685,2687,421
BSU_31840,4646,1954,2227,4172,1324,4795,7114,5808,1075,1917,12,1761,222,948,4778,3202,207,2395,490,4830,2871,2329,3436,3867,5046,979,6444,7309,5902,3166,7469
BSU_31850,1419,639,655,1078,364,1316,1695,1590,253,405,1,529,30,228,1167,914,41,660,77,1456,644,884,1182,1375,1379,223,1718,1898,1702,714,1821
BSU_31860,11773,4793,5161,8257,1689,10294,12123,12121,1789,2144,872,4014,366,1245,9636,6078,4385,5130,9121,11662,4967,6291,9037,10192,10768,1581,13449,14464,13705,5407,15472
BSU_31875,16120,7253,7521,10937,1202,13030,13285,13348,2355,1660,942,5000,632,906,12997,8377,3733,9352,9740,14886,7773,7897,13728,13368,15544,1978,16196,19441,19753,8772,19681
BSU_31890,5381,2799,2730,3058,79,4566,4684,4348,824,188,367,1380,137,84,4458,2576,1986,3101,3621,5326,2737,2405,4956,4220,4810,643,5123,6472,6372,3363,6753
BSU_31900,1091,611,691,631,19,968,933,813,242,47,19,314,35,18,787,519,121,785,220,1202,569,504,1134,1036,1051,120,965,1378,1460,751,1214
BSU_31910,75114,29159,34362,57837,1062,102292,92057,72668,10291,1531,0,15391,524,908,65904,38751,486,18104,1958,103823,41592,23040,46132,107864,67231,7699,84905,86682,85301,50964,91551
BSU_31920,2034,1285,1384,2225,447,785,2023,1464,831,544,4,1316,176,354,1034,2073,186,1418,238,859,1476,1384,1869,744,2055,756,1521,1588,2076,1942,1588
BSU_31930,2842,2251,2670,4136,21182,722,615,483,1579,23855,0,3062,1165,21546,1091,3072,923,2818,717,765,3022,2804,3152,1008,2708,1656,505,1666,3182,3149,1781
BSU_31945,10539,5015,6046,11401,2484,10340,3823,2438,2041,2619,0,7555,356,2170,6088,14469,426,5232,611,9738,8511,7948,6703,12445,9635,2642,3194,7715,10018,10362,8490
BSU_31959,2865,105,101,564,1477,2146,135,89,300,1773,2,81,8,1084,1762,79,29,81,65,2025,401,100,100,3257,2613,220,173,2145,3376,512,2175
BSU_31960,55053,1623,1868,11249,31946,43400,1553,1154,5591,45524,30,1622,863,24152,30943,1570,973,2281,784,35082,6958,2165,1931,72519,53654,4235,2276,39776,70375,7740,38762
BSU_31970,5999,239,248,1458,2612,7328,160,119,587,3220,2,237,39,1920,3451,179,40,313,93,6477,849,282,246,10776,5730,560,214,4389,7682,919,4416
BSU_31980,9052,292,305,2012,2565,4438,231,193,864,3289,1,352,134,2139,6248,319,195,475,176,4082,1264,422,308,7127,9162,694,346,7583,11455,1332,7536
BSU_31990,9167,331,396,1952,2682,5600,229,144,939,4161,2,463,358,2807,6153,362,319,547,172,3648,1271,463,407,9546,9237,843,297,7749,12086,1170,7492
BSU_32000,4686,160,170,1041,839,1810,122,93,519,903,2,195,82,654,3418,179,71,314,86,1434,594,247,177,2432,4472,465,168,4347,6380,625,4279
