regulator,gene_id,effect
CcpN,BSU29020,repression
CcpN,BSU30560,repression
CcpN,BSU29010,repression
CcpN,BSU14629,repression
SigK,BSU10930,sigma factor
SigK,BSU19850,sigma factor
SigK,BSU17970,sigma factor
SigK,BSU30610,sigma factor
SigK,BSU14970,sigma factor
SigK,BSU30900,sigma factor
SigK,BSU07270,sigma factor
SigK,BSU30870,sigma factor
SigK,BSU22200,sigma factor
SigK,BSU00260,sigma factor
SigK,BSU13789,sigma factor
SigK,BSU14980,sigma factor
SigK,BSU17420,sigma factor
SigK,BSU00250,sigma factor
SigK,BSU30860,sigma factor
SigK,BSU17310,sigma factor
SigK,BSU37890,sigma factor
SigK,BSU26390,sigma factor
SigK,BSU34520,sigma factor
SigK,BSU32640,sigma factor
SigK,BSU11320,sigma factor
SigK,BSU37830,sigma factor
SigK,BSU07280,sigma factor
SigK,new_2625913_2626090_c,sigma factor
SigK,BSU19490,sigma factor
SigK,BSU08620,sigma factor
SigK,BSU25150,sigma factor
SigK,BSU19890,sigma factor
SigK,BSU30910,sigma factor
SigK,BSU10950,sigma factor
SigK,BSU11760,sigma factor
SigK,BSU13790,sigma factor
SigK,BSU34530,sigma factor
SigK,BSU19750,sigma factor
SigK,BSU36060,sigma factor
SigK,BSU30850,sigma factor
SigK,BSU37840,sigma factor
SigK,BSU37870,sigma factor
SigK,BSU10600,sigma factor
SigK,BSU22240,sigma factor
SigK,BSU16760,sigma factor
SigK,BSU11750,sigma factor
SigK,BSU00240,sigma factor
SigK,BSU16740,sigma factor
SigK,BSU10910,sigma factor
SigK,BSU07300,sigma factor
SigK,BSU37810,sigma factor
SigK,BSU19810,sigma factor
SigK,BSU37900,sigma factor
SigK,BSU37880,sigma factor
SigK,BSU17820,sigma factor
SigK,BSU37820,sigma factor
SigK,BSU14040,sigma factor
SigK,BSU19110,sigma factor
SigK,BSU10900,sigma factor
SigK,BSU37860,sigma factor
SigK,BSU13780,sigma factor
SigK,BSU36070,sigma factor
SigK,BSU12830,sigma factor
SigK,BSU17410,sigma factor
SigK,BSU10610,sigma factor
SigK,BSU19970,sigma factor
SigK,BSU10710,sigma factor
SigK,BSU06300,sigma factor
SigK,BSU19820,sigma factor
SigK,BSU15950,sigma factor
SigK,BSU37910,sigma factor
SigK,BSU10700,sigma factor
SigK,BSU19770,sigma factor
SigK,BSU11810,sigma factor
SigK,BSU09165,sigma factor
SigK,BSU02600,sigma factor
SigK,BSU11780,sigma factor
SigK,BSU32340,sigma factor
SigK,BSU19880,sigma factor
SigK,BSU11740,sigma factor
SigK,BSU16770,sigma factor
SigK,BSU07290,sigma factor
SigK,BSU19860,sigma factor
SigK,BSU22250,sigma factor
SigK,BSU12090,sigma factor
SigK,BSU10680,sigma factor
SigK,BSU19870,sigma factor
SigK,BSU10920,sigma factor
SigK,BSU26560,sigma factor
SigK,BSU09958,sigma factor
SigK,BSU17700,sigma factor
SigK,BSU30880,sigma factor
SigK,BSU00270,sigma factor
SigK,BSU04110,sigma factor
SigK,BSU18670,sigma factor
SigK,BSU19930,sigma factor
SigK,BSU12820,sigma factor
SigK,BSU19610,sigma factor
SigK,BSU19600,sigma factor
SigK,BSU06850,sigma factor
SigK,BSU25710,sigma factor
SigK,BSU19790,sigma factor
SigK,BSU10670,sigma factor
SigK,BSU30620,sigma factor
SigK,BSU28320,sigma factor
SigK,BSU12490,sigma factor
SigK,BSU10940,sigma factor
SigK,BSU25760,sigma factor
SigK,BSU05550,sigma factor
SigK,BSU36050,sigma factor
SigK,BSU31270,sigma factor
SigK,BSU16730,sigma factor
SigK,BSU11770,sigma factor
SigK,BSU30920,sigma factor
SigK,BSU17030,sigma factor
SigK,BSU19830,sigma factor
SigK,BSU17670,sigma factor
SigK,BSU36040,sigma factor
SigK,BSU19910,sigma factor
SigK,BSU10720,sigma factor
SigK,BSU37850,sigma factor
SigK,BSU39580,sigma factor
SigK,BSU19940,sigma factor
SigK,BSU28410,sigma factor
SigK,BSU30595,sigma factor
SigK,BSU07310,sigma factor
SigK,BSU16750,sigma factor
SigK,BSU40530,sigma factor
SigK,BSU19780,sigma factor
SigK,BSU19760,sigma factor
SigK,BSU19920,sigma factor
SigK,BSU26559,sigma factor
SigK,BSU05560,sigma factor
SigK,BSU10690,sigma factor
SigK,BSU05570,sigma factor
SigK,BSU00430,sigma factor
SigK,BSU32650,sigma factor
SigK,BSU30890,sigma factor
Xre,BSU12519,repression
Xre,BSU12520,repression
Xre,BSU12530,repression
Xre,BSU12539,repression
Xre,BSU12540,repression
Xre,BSU12550,repression
BsdA,BSU03651,activation
BsdA,BSU03630,activation
BsdA,BSU03640,activation
SdpR,BSU32840,activation
SdpR,BSU32830,activation
SdpR,BSU32820,activation
SdpR,BSU33790,repression
SdpR,BSU32850,activation
SdpR,BSU33780,repression
Spo0A,BSU16330,repression
Spo0A,BSU16430,repression
Spo0A,BSU35520,repression
Spo0A,BSU17910,activation
Spo0A,BSU16440,repression
Spo0A,BSU24600,activation
Spo0A,BSU16270,repression
Spo0A,BSU16400,repression
Spo0A,BSU24930,repression
Spo0A,BSU16410,repression
Spo0A,BSU16320,repression
Spo0A,BSU14140,activation
Spo0A,BSU31740,repression
Spo0A,BSU14490,activation
Spo0A,BSU00380,repression
Spo0A,BSU29630,activation
Spo0A,BSU25890,activation
Spo0A,BSU16180,repression
Spo0A,BSU35510,repression
Spo0A,BSU29200,activation
Spo0A,BSU38400,activation
Spo0A,BSU27370,repression
Spo0A,BSU14110,activation
Spo0A,BSU36250,activation
Spo0A,BSU00370,repression
Spo0A,BSU10750,activation
Spo0A,BSU16240,repression
Spo0A,BSU40320,repression
Spo0A,BSU15320,activation
Spo0A,BSU01920,activation
Spo0A,BSU15380,repression
Spo0A,BSU03220,activation
Spo0A,BSU16260,repression
Spo0A,BSU36230,activation
Spo0A,BSU16450,repression
Spo0A,BSU16310,repression
Spo0A,BSU15330,activation
Spo0A,BSU16470,repression
Spo0A,BSU16210,repression
Spo0A,BSU38100,repression
Spo0A,BSU01950,activation
Spo0A,BSU03210,activation
Spo0A,BSU16480,repression
Spo0A,BSU15410,repression
Spo0A,BSU12440,repression
Spo0A,BSU16300,repression
Spo0A,BSU16460,repression
Spo0A,BSU22280,activation
Spo0A,BSU16380,repression
Spo0A,BSU14500,activation
Spo0A,BSU15400,repression
Spo0A,BSU16290,repression
Spo0A,BSU16299,repression
Spo0A,BSU16420,repression
Spo0A,BSU37130,activation
Spo0A,BSU07460,activation
Spo0A,BSU16370,repression
Spo0A,BSU39880,activation
Spo0A,BSU16280,repression
Spo0A,BSU32760,activation
Spo0A,BSU23460,activation
Spo0A,BSU16340,repression
Spo0A,BSU00010,repression
Spo0A,BSU11300,repression
Spo0A,BSU14240,repression
Spo0A,BSU16390,repression
Spo0A,BSU16200,repression
Spo0A,BSU01980,activation
Spo0A,BSU16250,repression
Spo0A,BSU37030,activation
Spo0A,BSU23470,activation
Spo0A,BSU15390,repression
Spo0A,BSU16360,repression
Spo0A,BSU12850,repression
Spo0A,BSU11310,repression
Spo0A,BSU38110,repression
Spo0A,BSU15420,repression
Spo0A,BSU03200,activation
Spo0A,BSU14120,activation
Spo0A,BSU23450,activation
Spo0A,BSU22270,activation
Spo0A,BSU39870,activation
Spo0A,BSU36260,activation
Spo0A,BSU38530,repression
Spo0A,BSU16350,repression
Spo0A,BSU32770,activation
Spo0A,BSU06570,activation
Spo0A,BSU09420,repression
Spo0A,BSU12430,repression
Spo0A,BSU26050,transcription activation
Spo0A,BSU25860,activation
Spo0A,BSU24220,repression
Spo0A,BSU10420,activation
Spo0A,BSU01910,activation
Spo0A,BSU25870,activation
Spo0A,BSU40330,repression
Spo0A,BSU12840,repression
Spo0A,BSU38520,repression
Spo0A,BSU19640,activation
Spo0A,BSU17890,repression
Spo0A,BSU00020,repression
Spo0A,BSU19210,activation
Spo0A,BSU25200,repression
Spo0A,BSU38540,repression
Spo0A,BSU25210,repression
Spo0A,BSU24610,activation
Spo0A,BSU33760,activation
Spo0A,BSU36240,activation
Spo0A,BSU40340,repression
Spo0A,BSU14510,activation
Spo0A,BSU17900,activation
Spo0A,BSU38499,repression
Spo0A,BSU16190,repression
Spo0A,BSU00640,activation
Spo0A,BSU00110,repression
Spo0A,BSU25880,activation
Spo0A,BSU10760,activation
Spo0A,BSU29210,activation
Spo0A,BSU40970,repression
Spo0A,BSU13990,activation
Spo0A,BSU33770,activation
Spo0A,BSU14100,activation
Spo0A,BSU06580,activation
Spo0A,BSU01935,activation
Spo0A,BSU15310,activation
Spo0A,BSU00120,repression
Spo0A,BSU25230,repression
Spo0A,BSU14130,activation
Spo0A,BSU16220,repression
Spo0A,BSU15370,repression
Spo0A,BSU33750,activation
Spo0A,BSU01960,activation
Spo0A,BSU24940,repression
Spo0A,BSU38500,repression
Spo0A,BSU40960,repression
Spo0A,BSU35260,repression
Spo0A,BSU00390,repression
Spo0A,BSU35250,repression
Spo0A,BSU01970,activation
Spo0A,BSU16230,repression
Spo0A,BSU07450,activation
Spo0A,BSU38510,repression
Spx,BSU22470,activation
Spx,BSU27240,activation
Spx,BSU15120,activation
Spx,BSU31290,activation
Spx,BSU00720,activation
Spx,BSU03510,repression
Spx,BSU31370,activation
Spx,BSU22490,activation
Spx,BSU22440,activation
Spx,BSU19470,activation
Spx,BSU03520,repression
Spx,BSU38100,activation
Spx,BSU29830,activation
Spx,BSU00730,activation
Spx,BSU30340,activation
Spx,BSU00700,activation
Spx,BSU14710,activation
Spx,BSU34790,activation
Spx,BSU14740,activation
Spx,BSU15110,activation
Spx,BSU21690,activation
Spx,BSU11550,activation
Spx,BSU27250,activation
Spx,BSU29480,activation
Spx,BSU03480,repression
Spx,BSU14730,activation
Spx,BSU19460,activation
Spx,BSU03490,repression
Spx,BSU14720,activation
Spx,BSU19479,activation
Spx,BSU29840,activation
